code_dpto,dpto,code_muni,muni,Creditos,Monto,Socias,Anio
05,Nueva Segovia,0505,Jalapa,773,4121750,168,2012
05,Nueva Segovia,0510,Murra,181,968300,55,2012
05,Nueva Segovia,0515,El Jicaro,162,887400,13,2012
05,Nueva Segovia,0520,San Fernando,88,458500,26,2012
05,Nueva Segovia,0525,Mozonte,188,960600,50,2012
05,Nueva Segovia,0530,Dipilto,15,78900,5,2012
05,Nueva Segovia,0535,Macuelizo,15,79750,4,2012
05,Nueva Segovia,0540,Santa Maria,81,443700,23,2012
05,Nueva Segovia,0545,Ocotal,1260,6796450,260,2012
05,Nueva Segovia,0550,Ciudad Antigua,38,199050,3,2012
05,Nueva Segovia,0555,Quilali,674,3640350,182,2012
05,Nueva Segovia,0560,Wiwili (N.S.),281,1508350,85,2012
10,Jinotega,1005,Wiwili (Jin.),46,253000,9,2012
10,Jinotega,1010,El Cua,245,1328400,48,2012
10,Jinotega,1012,San Jose de Bocay,218,1191800,59,2012
10,Jinotega,1015,Santa Maria de Pantasma,348,1850000,87,2012
10,Jinotega,1020,San Rafael del Norte,397,2120150,89,2012
10,Jinotega,1025,San Sebastian de Yali,452,2452700,118,2012
10,Jinotega,1030,La Concordia,312,1688050,81,2012
10,Jinotega,1035,Jinotega,2015,10860450,523,2012
20,Madriz,2005,Somoto,464,2446350,126,2012
20,Madriz,2010,Totogalpa,75,402600,24,2012
20,Madriz,2015,Telpaneca,362,1897550,124,2012
20,Madriz,2020,San Juan de Rio Coco,660,3347000,201,2012
20,Madriz,2025,Palacaguina,391,2075400,108,2012
20,Madriz,2030,Yalaguina,324,1760350,90,2012
20,Madriz,2035,San Lucas,31,122300,4,2012
20,Madriz,2040,Las Sabanas,35,183500,14,2012
20,Madriz,2045,San Jose de Cusmapa,35,179850,14,2012
25,Esteli,2505,Pueblo Nuevo,266,1436000,62,2012
25,Esteli,2510,Condega,449,2412800,123,2012
25,Esteli,2515,Esteli,3651,19933600,823,2012
25,Esteli,2520,San Juan de Limay,165,903900,40,2012
25,Esteli,2525,La Trinidad,873,4752700,255,2012
25,Esteli,2530,San Nicolas,121,632850,33,2012
30,Chinandega,3005,San Pedro del Norte,25,137500,5,2012
30,Chinandega,3010,San Francisco del Norte,99,524700,28,2012
30,Chinandega,3015,Cinco Pinos,13,71500,2,2012
30,Chinandega,3020,Santo Tomas del Norte,15,80700,2,2012
30,Chinandega,3025,El Viejo,277,1448800,68,2012
30,Chinandega,3030,Puerto Morazan,246,1317900,66,2012
30,Chinandega,3035,Somotillo,653,3423050,167,2012
30,Chinandega,3040,Villa Nueva,366,1957200,90,2012
30,Chinandega,3045,Chinandega,4248,22412250,1174,2012
30,Chinandega,3050,El Realejo,104,557600,18,2012
30,Chinandega,3055,Corinto,190,998200,44,2012
30,Chinandega,3060,Chichigalpa,1421,7596450,324,2012
30,Chinandega,3065,Posoltega,100,524800,25,2012
35,Leon,3505,Achuapa,281,1517550,88,2012
35,Leon,3510,El Sauce,102,536700,16,2012
35,Leon,3515,Santa Rosa del Peñon,292,1568200,100,2012
35,Leon,3520,El Jicaral,75,412500,7,2012
35,Leon,3525,Larreynaga,946,5113000,199,2012
35,Leon,3530,Telica,1050,5570550,258,2012
35,Leon,3535,Quezalguaque,220,1161300,38,2012
